customer_id,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,MonthlyCharges,Churn,gender_Female,gender_Male,InternetService_DSL,InternetService_Fiber optic,Contract_Month-to-month,Contract_One year,Contract_Two year,Cluster
1,0,0,0.0138888888888888,0,0,0.0693069306930693,1,1,0,1,0,1,0,0,1
2,0,0,0.5694444444444444,1,0,0.0693069306930693,0,0,1,1,0,0,1,0,3
3,0,1,0.7222222222222222,1,0,0.0099009900990099,0,1,0,1,0,1,0,0,3
4,0,0,0.0138888888888888,1,0,0.5742574257425743,1,1,0,1,0,0,1,0,0
5,0,0,0.9305555555555556,1,0,0.3267326732673267,0,0,1,0,1,1,0,0,3
6,1,0,0.9444444444444444,1,1,0.7128712871287128,1,1,0,0,1,1,0,0,2
7,0,1,0.3194444444444444,1,1,0.5841584158415842,0,1,0,0,1,1,0,0,0
8,0,1,1.0,1,0,0.5346534653465347,0,0,1,1,0,1,0,0,2
9,0,0,0.9722222222222222,1,1,0.8514851485148516,1,0,1,0,1,1,0,0,2
10,0,0,0.0138888888888888,1,0,0.0099009900990099,1,0,1,1,0,0,1,0,1
11,0,0,0.0138888888888888,1,0,0.0198019801980198,0,0,1,1,0,1,0,0,1
12,0,1,0.4722222222222222,1,0,0.6534653465346534,0,0,1,1,0,0,0,1,0
13,1,1,0.3888888888888888,1,1,0.3267326732673267,0,0,1,0,1,0,1,0,1
14,1,0,0.25,1,1,0.6633663366336633,1,1,0,0,1,1,0,0,0
15,0,0,0.2083333333333333,1,0,0.0198019801980198,0,1,0,0,1,1,0,0,1
16,1,0,0.1527777777777777,1,1,0.7623762376237624,1,1,0,0,1,0,0,1,0
17,0,0,0.1527777777777777,1,0,0.3564356435643565,1,0,1,1,0,0,1,0,1
18,0,1,0.0138888888888888,1,1,0.5148514851485149,1,0,1,0,1,0,0,1,0
19,0,1,0.5138888888888888,1,0,0.7029702970297029,0,1,0,1,0,1,0,0,2
20,0,1,0.3055555555555555,1,0,0.7029702970297029,1,0,1,0,1,1,0,0,0
21,0,0,0.0138888888888888,1,0,0.5148514851485149,0,1,0,1,0,1,0,0,0
22,0,1,0.0138888888888888,1,0,0.0099009900990099,0,1,0,1,0,0,1,0,1
23,0,1,0.6388888888888888,1,0,0.613861386138614,0,0,1,1,0,1,0,0,2
24,0,0,0.7083333333333333,1,1,0.8811881188118813,0,1,0,1,0,0,0,1,2
25,0,0,0.5694444444444444,1,0,0.8514851485148516,0,1,0,1,0,1,0,0,2
26,0,0,0.0694444444444444,1,0,0.4950495049504951,1,1,0,1,0,1,0,0,0
27,0,0,0.625,1,1,0.7029702970297029,1,1,0,0,1,1,0,0,2
28,0,1,0.4027777777777777,1,0,0.4158415841584158,0,0,1,1,0,1,0,0,0
29,1,0,0.2083333333333333,1,1,0.7326732673267327,0,1,0,1,0,0,0,1,0
30,0,0,1.0,0,0,0.4554455445544554,0,0,1,1,0,1,0,0,2
31,0,0,0.6944444444444444,1,1,0.8514851485148516,0,0,1,0,1,0,0,1,2
